station_code,Phase,pick_time,w_conf,network_code
OSHIM3,S,2009-12-17T00:23:53.310+09:00,0.14296717941761017,0301
OSHIM3,S,2009-12-17T00:23:54.640+09:00,0.29032012820243835,0301
IZUSIM,P,2009-12-17T00:31:54.940+09:00,0.2651559114456177,0301
IZUSIM,P,2009-12-17T00:53:01.810+09:00,0.10591784864664078,0301
IZUSIM,P,2009-12-17T00:53:02.520+09:00,0.24659541249275208,0301
AJIRO2,S,2009-12-17T01:06:54.160+09:00,0.22378969192504883,0301
AJIRO2,S,2009-12-17T01:06:59.730+09:00,0.37638309597969055,0301
AJIRO2,P,2009-12-17T01:06:53.820+09:00,0.7927788496017456,0301
AJIRO2,S,2009-12-17T01:07:00.980+09:00,0.521723747253418,0301
AJIRO2,P,2009-12-17T01:22:16.500+09:00,0.18214160203933716,0301
IZUSIM,S,2009-12-17T00:53:09.870+09:00,0.6019991040229797,0301
OSHIM3,P,2009-12-17T00:23:53.100+09:00,0.6605250239372253,0301
OSHIM3,S,2009-12-17T00:23:59.700+09:00,0.31711268424987793,0301
AJIRO2,P,2009-12-17T01:40:01.280+09:00,0.8587165474891663,0301
OSHIM3,S,2009-12-17T01:52:09.160+09:00,0.4044134020805359,0301
OSHIM3,S,2009-12-17T01:55:21.270+09:00,0.1863081455230713,0301
OSHIM3,S,2009-12-17T01:56:02.990+09:00,0.11079876124858856,0301
AJIRO2,S,2009-12-17T01:24:21.160+09:00,0.4119274616241455,0301
OSHIM3,P,2009-12-17T01:52:08.200+09:00,0.21136890351772308,0301
OSHIM3,S,2009-12-17T02:00:12.840+09:00,0.2768450081348419,0301
AJIRO2,P,2009-12-17T01:55:03.740+09:00,0.842056155204773,0301
AJIRO2,S,2009-12-17T02:13:59.780+09:00,0.24124589562416077,0301
OSHIM3,S,2009-12-17T02:14:28.840+09:00,0.2394925206899643,0301
IZUSIM,S,2009-12-17T01:50:59.660+09:00,0.12757527828216553,0301
IZUSIM,S,2009-12-17T02:36:59.720+09:00,0.14805211126804352,0301
IZUSIM,S,2009-12-17T02:38:29.780+09:00,0.2884427011013031,0301
IZUSIM,S,2009-12-17T02:38:59.680+09:00,0.11145170778036118,0301
IZUSIM,S,2009-12-17T02:39:19.630+09:00,0.3982081413269043,0301
IZUSIM,P,2009-12-17T00:53:04.000+09:00,0.20754596590995789,0301
IZUSIM,S,2009-12-17T02:39:20.390+09:00,0.16973653435707092,0301
AJIRO2,S,2009-12-17T02:34:59.800+09:00,0.45927882194519043,0301
AJIRO2,S,2009-12-17T02:43:55.990+09:00,0.13890542089939117,0301
OSHIM3,S,2009-12-17T02:35:16.200+09:00,0.3287130296230316,0301
IZUSIM,S,2009-12-17T02:42:29.730+09:00,0.5409658551216125,0301
OSHIM3,S,2009-12-17T02:48:44.310+09:00,0.15240655839443207,0301
OSHIM3,P,2009-12-17T02:14:28.640+09:00,0.4337146282196045,0301
IZUSIM,P,2009-12-17T02:42:24.040+09:00,0.6390036940574646,0301
OSHIM3,S,2009-12-17T02:49:59.660+09:00,0.14142516255378723,0301
OSHIM3,S,2009-12-17T02:55:09.430+09:00,0.1613612323999405,0301
IZUSIM,S,2009-12-17T02:49:29.780+09:00,0.25248175859451294,0301
AJIRO2,P,2009-12-17T02:34:56.740+09:00,0.1842593401670456,0301
AJIRO2,S,2009-12-17T02:43:59.770+09:00,0.3674347698688507,0301
AJIRO2,S,2009-12-17T02:56:27.240+09:00,0.16332048177719116,0301
AJIRO2,P,2009-12-17T02:56:24.800+09:00,0.41015389561653137,0301
AJIRO2,S,2009-12-17T02:56:29.740+09:00,0.2885364294052124,0301
AJIRO2,S,2009-12-17T02:56:31.040+09:00,0.2882906198501587,0301
AJIRO2,S,2009-12-17T02:56:31.570+09:00,0.13139741122722626,0301
OSHIM3,S,2009-12-17T02:55:14.520+09:00,0.11004124581813812,0301
OSHIM3,P,2009-12-17T02:52:33.960+09:00,0.17774491012096405,0301
OSHIM3,S,2009-12-17T03:04:19.080+09:00,0.41289713978767395,0301
AJIRO2,P,2009-12-17T02:56:47.640+09:00,0.17853397130966187,0301
AJIRO2,P,2009-12-17T03:07:04.320+09:00,0.14455746114253998,0301
AJIRO2,S,2009-12-17T02:57:02.740+09:00,0.4694777727127075,0301
AJIRO2,S,2009-12-17T03:07:12.580+09:00,0.26674774289131165,0301
OSHIM3,P,2009-12-17T03:06:33.970+09:00,0.10836029052734375,0301
OSHIM3,S,2009-12-17T03:06:38.340+09:00,0.18219543993473053,0301
OSHIM3,S,2009-12-17T03:16:50.680+09:00,0.1267547905445099,0301
AJIRO2,P,2009-12-17T03:07:12.600+09:00,0.5473561882972717,0301
AJIRO2,P,2009-12-17T03:34:03.980+09:00,0.5777595043182373,0301
AJIRO2,S,2009-12-17T03:07:13.910+09:00,0.5110456347465515,0301
AJIRO2,S,2009-12-17T03:34:21.260+09:00,0.3313065767288208,0301
AJIRO2,S,2009-12-17T03:34:21.800+09:00,0.1692681461572647,0301
OSHIM3,S,2009-12-17T03:29:29.660+09:00,0.16223493218421936,0301
OSHIM3,P,2009-12-17T03:16:49.830+09:00,0.15951408445835114,0301
OSHIM3,P,2009-12-17T03:41:03.970+09:00,0.12076158821582794,0301
OSHIM3,S,2009-12-17T03:37:52.790+09:00,0.13291844725608826,0301
OSHIM3,S,2009-12-17T03:41:07.400+09:00,0.17471444606781006,0301
OSHIM3,S,2009-12-17T03:43:53.220+09:00,0.4850633442401886,0301
OSHIM3,S,2009-12-17T03:43:59.770+09:00,0.13927175104618073,0301
AJIRO2,S,2009-12-17T03:35:29.810+09:00,0.5899913311004639,0301
AJIRO2,S,2009-12-17T03:48:04.990+09:00,0.22596246004104614,0301
AJIRO2,S,2009-12-17T03:54:26.000+09:00,0.5696222186088562,0301
AJIRO2,S,2009-12-17T03:54:29.740+09:00,0.1621631383895874,0301
AJIRO2,S,2009-12-17T03:54:32.790+09:00,0.6155064105987549,0301
AJIRO2,P,2009-12-17T03:34:18.300+09:00,0.7584495544433594,0301
OSHIM3,P,2009-12-17T03:41:07.000+09:00,0.14465643465518951,0301
AJIRO2,P,2009-12-17T03:58:57.940+09:00,0.1758110076189041,0301
OSHIM3,S,2009-12-17T03:44:29.740+09:00,0.1154828816652298,0301
AJIRO2,S,2009-12-17T03:57:04.880+09:00,0.12887433171272278,0301
AJIRO2,S,2009-12-17T03:59:07.120+09:00,0.4641585350036621,0301
AJIRO2,S,2009-12-17T03:59:17.680+09:00,0.4393976032733917,0301
AJIRO2,S,2009-12-17T04:00:28.390+09:00,0.13702696561813354,0301
AJIRO2,P,2009-12-17T03:59:07.000+09:00,0.10037770122289658,0301
AJIRO2,S,2009-12-17T04:00:29.660+09:00,0.1509915441274643,0301
AJIRO2,P,2009-12-17T04:00:33.930+09:00,0.2054053097963333,0301
AJIRO2,S,2009-12-17T04:00:59.720+09:00,0.34893837571144104,0301
AJIRO2,S,2009-12-17T04:03:59.840+09:00,0.3308171033859253,0301
AJIRO2,S,2009-12-17T04:05:11.800+09:00,0.30205583572387695,0301
AJIRO2,S,2009-12-17T04:05:23.310+09:00,0.7150765657424927,0301
AJIRO2,S,2009-12-17T04:05:29.740+09:00,0.12720878422260284,0301
AJIRO2,S,2009-12-17T04:05:46.940+09:00,0.1374284327030182,0301
AJIRO2,P,2009-12-17T04:01:33.970+09:00,0.12114933878183365,0301
AJIRO2,S,2009-12-17T04:05:59.640+09:00,0.13813215494155884,0301
AJIRO2,S,2009-12-17T04:06:42.220+09:00,0.5747449398040771,0301
AJIRO2,P,2009-12-17T04:06:39.340+09:00,0.20402434468269348,0301
AJIRO2,S,2009-12-17T04:07:13.120+09:00,0.26129069924354553,0301
AJIRO2,S,2009-12-17T04:07:59.640+09:00,0.1654830127954483,0301
AJIRO2,S,2009-12-17T04:09:20.320+09:00,0.24086596071720123,0301
AJIRO2,S,2009-12-17T04:09:25.910+09:00,0.11555282026529312,0301
AJIRO2,S,2009-12-17T04:09:48.200+09:00,0.14822918176651,0301
AJIRO2,S,2009-12-17T04:09:59.700+09:00,0.13717953860759735,0301
AJIRO2,S,2009-12-17T04:10:29.640+09:00,0.15876029431819916,0301
AJIRO2,S,2009-12-17T04:11:23.150+09:00,0.13974197208881378,0301
AJIRO2,P,2009-12-17T04:07:53.940+09:00,0.11577785015106201,0301
AJIRO2,S,2009-12-17T04:11:29.770+09:00,0.24605189263820648,0301
AJIRO2,P,2009-12-17T04:11:33.930+09:00,0.12229497730731964,0301
AJIRO2,S,2009-12-17T04:11:33.580+09:00,0.37434831261634827,0301
AJIRO2,S,2009-12-17T04:12:23.320+09:00,0.17665870487689972,0301
AJIRO2,S,2009-12-17T04:13:56.240+09:00,0.19438636302947998,0301
AJIRO2,S,2009-12-17T04:13:59.740+09:00,0.3085947334766388,0301
AJIRO2,S,2009-12-17T04:14:42.950+09:00,0.33614033460617065,0301
AJIRO2,S,2009-12-17T04:14:45.900+09:00,0.1578799933195114,0301
AJIRO2,S,2009-12-17T04:14:59.650+09:00,0.1743663102388382,0301
AJIRO2,S,2009-12-17T04:15:40.030+09:00,0.11509072780609131,0301
